theta;RFC;KNN;GNB;SVM
1.767145868;78.965;97.145;91.25;94.615
1.779417714;79.13;97.08;91.215;94.6
1.79168956;79.59;97.08;91.115;94.685
1.803961407;79.345;97.22;91.13;94.64
1.816233253;78.55;97.13;91.035;94.59
1.828505099;79.545;97.145;91.255;94.65
1.840776945;79.25;97.055;91.285;94.625
1.853048792;79.335;97.135;91.12;94.65
1.865320638;79.795;97.205;91.05;94.63
1.877592484;79.615;97.18;91.35;94.69
1.889864331;78.875;97.21;91.535;94.705
1.902136177;79.255;97.105;91.445;94.655
1.914408023;78.945;97.185;91.235;94.685
1.92667987;79.06;97.245;91.54;94.705
1.938951716;79.04;97.26;91.505;94.645
1.951223562;79.52;97.235;91.42;94.755
1.963495408;79.115;97.265;91.445;94.685
1.975767255;79.52;97.24;91.5;94.84
1.988039101;79.37;97.295;91.315;94.755
2.000310947;79.665;97.285;91.09;94.725
2.012582794;79.715;97.35;91.585;94.61
2.02485464;79.135;97.325;91.4;94.77
2.037126486;79.54;97.3;91.475;94.67
2.049398333;80.04;97.235;91.405;94.725
2.061670179;79.735;97.36;91.59;94.7
2.073942025;79.93;97.345;91.5;94.7
2.086213872;80.065;97.345;91.505;94.815
2.098485718;79.56;97.3;91.435;94.72
2.110757564;79.76;97.36;91.405;94.72
2.12302941;80.305;97.36;91.34;94.77
2.135301257;79.815;97.42;91.39;94.775
2.147573103;80.05;97.415;91.68;94.825
2.159844949;79.43;97.35;91.59;94.835
2.172116796;79.93;97.335;91.585;94.835
2.184388642;79.945;97.45;91.67;94.81
2.196660488;80.53;97.44;91.7;94.87
2.208932335;80.035;97.485;91.71;94.91
2.221204181;79.605;97.47;91.685;94.71
2.233476027;79.745;97.44;91.595;94.865
2.245747873;80.215;97.44;91.565;94.84
2.25801972;80.11;97.545;91.775;94.8
2.270291566;79.8;97.405;91.66;94.9
2.282563412;79.59;97.455;91.72;94.815
2.294835259;80.36;97.46;91.82;94.78
2.307107105;80.095;97.465;91.645;94.785
2.319378951;80.355;97.445;91.985;94.84
2.331650798;79.745;97.365;91.83;94.78
2.343922644;80.31;97.385;91.99;94.89
2.35619449;79.74;97.47;91.675;94.84
2.368466337;79.78;97.43;91.83;94.84
