Theta: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0;;;;;;;;;;
RFC;81.332;82.401;81.086;79.852;81.99;82.648;82.072;81.579;81.168;81.497;83.141;80.51;81.661;81.332;80.839;80.51;80.51;82.155;81.497;81.332;83.553;81.25;81.661;81.414;81.086;79.852;81.497;82.648;82.73;80.016;81.99;80.674;81.908;81.743;80.016;81.414;81.497;81.661;81.743;79.852;81.826;80.428;81.99;81.414;82.237;81.003;81.414;82.648;82.895;81.908;81.661;82.401;81.908;82.484;81.661;81.661;81.579;79.112;81.661;80.592;81.579;81.25;81.25;81.826;80.263;81.332;83.224;79.194;81.579;82.484;81.414;82.237;82.73;81.661;80.921;82.155;83.306;82.977;82.237;79.605;83.964;80.674;83.306;80.757;82.237;82.319;80.181;82.155;80.757;80.51;82.401;81.332;80.51;80.592;82.812;82.484;80.921;82.401;80.345;81.25;;81.54932;0.957194598;;81.54932;0.957194598;91.3109;0.791474453;88.35693;0.906925976;87.94081;0.899949673
KNN;90.707;92.434;92.27;90.378;91.201;92.023;92.928;91.776;90.954;92.023;90.625;91.53;92.105;89.803;89.638;90.872;90.789;92.434;91.447;90.461;91.365;92.516;90.296;91.201;91.447;90.954;92.105;92.599;90.872;90.789;91.694;91.859;90.543;91.53;88.98;91.859;92.516;90.625;91.53;89.803;91.694;90.789;90.625;91.283;91.694;90.625;91.53;91.859;90.707;90.872;91.365;91.118;91.53;92.681;91.365;91.53;90.954;90.954;91.036;92.105;92.27;91.53;90.707;91.365;89.72;92.352;90.378;91.941;92.763;90.872;91.694;91.283;91.941;91.447;90.625;92.188;93.092;91.365;91.447;90.625;91.53;91.612;91.201;90.214;91.283;90.872;90.049;91.859;91.612;91.612;91.53;91.53;89.474;92.023;91.201;92.352;90.543;91.776;90.214;91.201;;91.3109;0.791474453;;;;;;;;;
GNB;87.582;89.309;88.487;88.569;88.816;88.405;89.474;88.734;87.747;88.487;88.322;88.487;88.158;87.007;87.171;87.582;86.842;88.24;88.651;88.24;88.816;89.885;88.24;88.24;88.405;87.336;88.405;89.474;88.405;87.582;88.405;87.664;87.582;89.145;85.526;88.487;89.309;87.829;87.418;86.349;88.651;86.842;89.309;87.336;89.885;87.829;88.405;88.734;88.569;87.993;87.911;89.145;89.062;89.967;88.322;88.487;87.007;87.5;88.076;89.556;89.556;87.582;87.664;88.158;87.089;89.638;88.569;87.993;89.227;88.734;88.898;89.556;89.062;89.967;88.322;90.132;88.816;88.734;89.391;87.993;88.816;88.651;88.98;87.829;86.924;88.158;87.829;88.98;88.405;89.391;88.734;87.171;86.678;88.734;88.24;89.309;88.322;89.474;85.609;88.98;;88.35693;0.906925976;;;;;;;;;
SVM;87.582;88.816;87.993;88.487;87.582;88.405;89.638;87.418;87.5;89.062;87.993;88.569;88.076;87.336;87.007;87.993;86.76;88.405;88.816;87.911;88.322;89.638;87.171;87.911;88.076;85.938;89.638;90.378;86.678;86.924;88.405;87.829;87.664;88.405;86.266;87.089;89.556;87.747;87.664;86.842;88.816;87.336;88.322;87.5;89.227;87.336;88.322;87.993;87.5;87.911;87.911;88.816;87.993;88.651;87.089;88.487;88.487;87.993;87.5;88.569;88.816;87.336;87.089;87.582;87.582;88.24;86.678;87.418;87.747;87.418;89.062;89.062;88.734;88.076;87.418;89.803;87.829;88.898;88.816;87.253;87.336;88.322;87.171;86.102;88.076;87.418;87.007;89.309;86.842;88.076;88.734;87.171;85.938;86.924;87.911;87.993;87.336;88.898;85.855;89.556;;87.94081;0.899949673;;;;;;;;;
Theta: 0.0122718463031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0122718463031;;;;;;;;;;
RFC;81.743;82.566;81.743;83.224;81.003;83.141;83.224;83.388;82.73;81.826;81.826;82.812;83.388;81.743;81.743;82.401;80.839;82.977;83.553;82.484;82.73;83.799;81.99;82.484;81.579;82.155;82.566;82.237;83.47;80.839;82.237;83.388;81.168;82.319;81.332;81.332;82.73;81.579;83.388;80.016;82.401;82.155;83.553;82.319;83.306;81.579;82.73;83.224;83.306;81.99;83.388;82.566;84.293;83.059;81.168;82.319;82.237;80.921;81.661;81.003;82.566;81.908;82.566;82.648;80.345;82.319;82.484;81.99;83.635;82.977;81.168;82.977;82.401;81.497;83.306;83.141;83.388;83.224;82.648;81.99;81.743;82.319;82.155;79.934;81.25;84.046;83.388;81.826;81.086;81.25;81.826;82.155;80.016;81.414;82.237;81.99;82.648;84.128;79.523;82.237;;82.27219;0.958445415;;82.27219;0.958445415;91.69003;0.737500013;88.89716;0.848146175;88.65791;0.868451255
KNN;91.201;92.434;92.188;91.365;91.447;92.27;93.174;92.188;91.612;92.434;91.53;91.612;92.434;91.283;90.378;91.036;90.625;92.845;91.776;91.53;91.941;92.599;90.625;92.27;91.776;91.283;91.776;93.914;91.612;90.954;92.27;91.612;91.694;91.612;89.556;92.105;92.599;91.365;91.694;90.954;91.612;91.201;91.53;91.941;91.53;91.283;91.53;91.365;91.694;91.036;91.859;91.612;92.188;92.188;91.612;92.516;91.283;90.954;91.201;92.023;91.859;91.776;91.118;91.612;90.625;92.516;90.872;91.776;93.092;90.954;91.612;91.694;92.352;91.694;90.543;92.763;92.928;91.612;91.53;92.27;91.365;92.023;91.53;90.543;91.694;91.53;90.132;93.257;91.941;92.023;91.859;91.694;89.062;92.434;91.612;92.352;91.365;92.681;90.954;92.023;;91.69003;0.737500013;;;;;;;;;
GNB;87.664;89.227;88.98;89.145;89.391;88.898;89.556;89.062;87.5;89.227;88.322;88.651;89.474;88.076;88.405;87.582;87.418;90.132;89.227;88.651;89.227;90.049;88.322;88.569;88.405;87.5;89.391;90.378;88.651;89.391;88.734;88.076;87.171;89.72;86.76;89.062;89.638;88.158;88.322;87.5;89.145;87.418;89.556;88.487;90.049;88.816;88.487;89.474;88.487;89.062;88.405;89.638;89.556;89.885;88.487;90.543;88.569;87.582;88.569;90.378;89.062;88.322;87.418;88.076;88.487;89.803;89.309;88.24;90.214;89.391;89.309;89.309;89.556;90.132;89.638;90.132;89.227;89.474;89.556;88.898;90.378;88.98;89.309;87.418;88.158;89.062;88.322;89.72;88.98;89.145;90.049;88.24;87.253;88.898;88.98;89.885;88.405;90.132;87.664;88.98;;88.89716;0.848146175;;;;;;;;;
SVM;88.158;89.474;87.993;88.98;88.98;89.474;89.885;88.651;88.569;89.391;88.487;89.309;88.158;88.816;88.569;88.734;86.76;89.145;89.391;88.24;88.898;89.967;87.747;88.898;89.474;87.007;89.556;91.283;87.747;87.829;89.638;88.487;88.405;88.898;87.089;88.651;90.954;88.24;88.569;87.993;89.803;87.253;87.993;88.98;90.049;89.72;89.145;87.829;89.72;88.405;88.076;88.651;88.487;89.145;88.076;88.816;87.829;88.158;88.322;88.076;88.24;88.487;87.829;87.582;88.158;88.569;88.651;87.747;88.816;88.816;90.296;89.474;89.556;88.158;88.24;90.378;88.487;90.378;88.405;87.747;88.322;88.98;88.24;86.76;88.816;88.322;87.007;89.309;88.734;89.062;88.734;87.747;87.5;87.829;88.487;88.98;88.651;89.474;87.5;90.296;;88.65791;0.868451255;;;;;;;;;
Theta: 0.0245436926062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0245436926062;;;;;;;;;;
