;;;;;;;;;
theta1;theta2;RFC;;1NN;;GNB;;SVM;
;;Mean;STD;Mean;STD;Mean;STD;Mean;STD
1.436156642;0;85.024;1.29964;94.553;0.88445;86.292;1.47124;86.049;1.2807
1.436156642;0.17951958;85.29;1.47838;94.725;0.92316;86.599;1.49452;86.553;1.1916
1.436156642;0.35903916;85.024;1.63854;94.769;0.82361;86.756;1.4121;86.679;1.29979
1.436156642;0.538558741;85.099;1.70197;94.772;0.85403;86.638;1.51628;86.894;1.1992
1.436156642;0.718078321;84.913;1.4006;94.892;0.83069;86.543;1.43948;87.142;1.1723
1.436156642;0.897597901;85.053;1.57267;94.732;0.86318;86.261;1.59676;87.079;1.16442
1.436156642;1.077117481;85.067;1.65243;94.786;0.79844;86.39;1.43956;87.025;1.23372
1.436156642;1.256637061;84.824;1.41569;94.736;0.84128;86.222;1.49987;86.49;1.36463
1.436156642;1.436156642;84.663;1.40508;94.512;0.83714;86.024;1.50471;86.026;1.34585
1.436156642;1.615676222;84.587;1.38283;94.304;0.80183;85.949;1.42834;85.718;1.26428
1.436156642;1.795195802;84.236;1.46256;94.087;0.91546;85.794;1.40258;85.492;1.21532
1.436156642;1.974715382;84.074;1.54161;93.976;0.85857;85.981;1.44602;85.053;1.22487
1.436156642;2.154234962;83.714;1.63141;93.843;0.88083;86.01;1.44869;84.556;1.26656
1.436156642;2.333754543;83.333;1.68954;93.59;0.91654;86.01;1.44616;84.561;1.3504
1.436156642;2.513274123;83.221;1.59906;93.593;0.89336;86.089;1.46654;84.64;1.28787
1.436156642;2.692793703;83.028;1.56162;93.679;0.86969;86.117;1.47208;84.699;1.3091
1.436156642;2.872313283;83.101;1.69798;93.719;0.8955;85.993;1.56648;84.939;1.32584
1.436156642;3.051832863;82.968;1.44733;93.746;0.87079;85.519;1.55786;85.158;1.30141
1.436156642;3.231352444;82.41;1.51706;93.421;0.92539;84.944;1.66921;84.508;1.26525
1.436156642;3.410872024;81.615;1.61526;92.839;0.9274;84.364;1.66135;83.818;1.33196
1.436156642;3.590391604;81.349;1.57995;92.375;1.0051;84.136;1.54917;83.474;1.30282
1.436156642;3.769911184;81.328;1.69937;92.154;1.04278;83.896;1.58435;83.153;1.31211
1.436156642;3.949430765;81.451;1.48141;92.204;0.98927;83.951;1.62439;83.36;1.34768
1.436156642;4.128950345;81.925;1.70828;92.336;0.99718;84.014;1.69177;83.615;1.3515
1.436156642;4.308469925;82.14;1.63984;92.483;0.94328;84.372;1.6144;83.993;1.30028
1.436156642;4.487989505;82.669;1.72206;92.932;0.98834;84.639;1.58297;84.328;1.25857
1.436156642;4.667509085;83.735;1.52486;93.554;0.95462;85.293;1.56937;84.925;1.34807
1.436156642;4.847028666;84.16;1.48454;94.135;0.96021;85.935;1.46997;85.974;1.24001
1.436156642;5.026548246;84.854;1.4566;94.481;0.88511;86.357;1.46182;86.422;1.18912
1.436156642;5.206067826;84.732;1.49036;94.635;0.85406;86.362;1.47559;86.597;1.2223
1.436156642;5.385587406;84.757;1.56055;94.753;0.80545;86.344;1.50704;86.74;1.20513
1.436156642;5.565106986;84.818;1.58719;94.821;0.88067;86.225;1.4775;86.965;1.17151
1.436156642;5.744626567;84.647;1.5016;94.646;0.86522;86.144;1.45974;86.896;1.34448
1.436156642;5.924146147;84.429;1.57661;94.518;0.87763;86.167;1.47589;86.664;1.25323
1.436156642;6.103665727;84.685;1.56641;94.537;0.82963;86.037;1.37233;86.221;1.27329
1.436156642;6.283185307;84.897;1.50969;94.553;0.88445;86.292;1.47124;86.042;1.26755
1.615676222;0;84.536;1.52059;94.283;0.88098;85.871;1.4252;85.912;1.32743
1.615676222;0.17951958;84.875;1.59408;94.426;0.93452;86.196;1.39594;85.967;1.29531
1.615676222;0.35903916;85.139;1.37717;94.703;0.91097;86.64;1.4693;86.447;1.27946
1.615676222;0.538558741;84.996;1.70018;94.629;0.85189;86.713;1.40684;86.6;1.13643
1.615676222;0.718078321;85.104;1.48428;94.699;0.88324;86.657;1.51246;86.875;1.15795
1.615676222;0.897597901;84.994;1.41379;94.862;0.86591;86.513;1.4499;87.065;1.24143
1.615676222;1.077117481;85.04;1.60491;94.756;0.84348;86.408;1.53395;87.264;1.17466
1.615676222;1.256637061;85.1;1.51498;94.826;0.81706;86.354;1.40633;86.951;1.29
1.615676222;1.436156642;84.728;1.62267;94.736;0.85718;86.171;1.53411;86.483;1.31818
1.615676222;1.615676222;84.868;1.48622;94.511;0.83645;86.024;1.5033;85.972;1.36677
1.615676222;1.795195802;84.285;1.35049;94.307;0.82414;85.988;1.35613;85.864;1.30579
1.615676222;1.974715382;84.31;1.63222;94.15;0.85623;85.789;1.3922;85.467;1.19888
1.615676222;2.154234962;84.026;1.65709;94.019;0.87705;85.847;1.53452;85.193;1.27095
1.615676222;2.333754543;83.5;1.63453;93.904;0.9158;85.91;1.43954;84.725;1.27687
1.615676222;2.513274123;83.396;1.64516;93.753;0.90693;85.931;1.30932;84.544;1.41504
1.615676222;2.692793703;83.093;1.60161;93.721;0.91145;86;1.40628;84.733;1.41417
1.615676222;2.872313283;83.374;1.68386;93.779;0.84672;85.992;1.55233;85.031;1.23347
1.615676222;3.051832863;83.574;1.29694;93.804;0.86243;86.022;1.38004;85.322;1.32286
1.615676222;3.231352444;83.108;1.70825;93.824;0.93055;85.536;1.41176;85.626;1.33528
1.615676222;3.410872024;82.575;1.51388;93.407;0.87146;84.89;1.49178;84.831;1.24002
1.615676222;3.590391604;82.061;1.39093;93.004;0.96858;84.464;1.59463;84.031;1.26686
1.615676222;3.769911184;81.544;1.66739;92.693;0.97656;84.254;1.59519;83.653;1.25593
1.615676222;3.949430765;81.644;1.41554;92.571;0.96375;84.208;1.54417;83.521;1.33599
1.615676222;4.128950345;81.662;1.52518;92.554;0.96283;84.322;1.52617;83.804;1.26059
1.615676222;4.308469925;82.567;1.68331;92.601;0.94523;84.542;1.67814;84.064;1.36996
1.615676222;4.487989505;82.757;1.66879;92.932;0.9562;84.872;1.68379;84.481;1.24205
1.615676222;4.667509085;83.401;1.34234;93.387;0.96583;85.06;1.64385;84.681;1.31388
1.615676222;4.847028666;84.025;1.64183;93.913;0.93481;85.808;1.51158;85.338;1.38475
1.615676222;5.026548246;84.407;1.39538;94.261;0.87464;85.978;1.49135;86.261;1.21933
1.615676222;5.206067826;84.679;1.46074;94.367;0.91694;86.276;1.49855;86.299;1.22559
1.615676222;5.385587406;84.5;1.55766;94.464;0.89452;86.219;1.62892;86.379;1.25312
1.615676222;5.565106986;84.8;1.54577;94.697;0.89567;86.121;1.4827;86.717;1.14943
1.615676222;5.744626567;84.351;1.47968;94.696;0.86059;86.037;1.50442;86.683;1.25482
1.615676222;5.924146147;84.379;1.56254;94.399;0.86848;86.013;1.48258;86.6;1.30563
1.615676222;6.103665727;84.306;1.53533;94.304;0.88508;85.889;1.42088;86.275;1.34763
1.615676222;6.283185307;84.415;1.50004;94.283;0.88098;85.871;1.4252;85.919;1.34798
1.795195802;0;83.944;1.62399;94.022;0.90436;85.653;1.41986;85.817;1.3367
1.795195802;0.17951958;84.394;1.5581;94.21;0.94049;85.828;1.50371;85.531;1.29374
1.795195802;0.35903916;84.765;1.45968;94.308;0.93788;86.132;1.24728;85.825;1.22723
1.795195802;0.538558741;84.707;1.30258;94.385;0.89025;86.56;1.40695;86.146;1.3222
1.795195802;0.718078321;84.81;1.40747;94.524;0.85848;86.501;1.44867;86.694;1.17211
1.795195802;0.897597901;84.925;1.34276;94.725;0.89472;86.485;1.46483;86.947;1.18406
1.795195802;1.077117481;84.9;1.37312;94.792;0.90107;86.388;1.49246;86.976;1.24286
1.795195802;1.256637061;84.971;1.6296;94.796;0.82949;86.467;1.45195;87.232;1.21562
1.795195802;1.436156642;84.96;1.49062;94.826;0.82083;86.404;1.36901;86.9;1.267
1.795195802;1.615676222;84.84;1.49218;94.714;0.85973;86.235;1.56222;86.417;1.2877
1.795195802;1.795195802;84.911;1.50917;94.511;0.83645;86.024;1.5033;86.003;1.32019
1.795195802;1.974715382;84.438;1.48571;94.301;0.87345;85.935;1.42466;85.846;1.34931
1.795195802;2.154234962;84.144;1.66362;94.181;0.85312;85.843;1.49553;85.507;1.29165
1.795195802;2.333754543;83.786;1.48366;94.094;0.86279;85.722;1.44631;85.265;1.3496
1.795195802;2.513274123;83.754;1.74795;93.925;0.90664;85.713;1.51314;84.901;1.29596
1.795195802;2.692793703;83.228;1.52602;93.849;0.91082;85.606;1.40347;84.769;1.35047
1.795195802;2.872313283;83.411;1.64574;93.838;0.87921;85.721;1.5285;85.1;1.31146
1.795195802;3.051832863;83.344;1.48406;93.921;0.86488;85.956;1.52098;85.404;1.25494
1.795195802;3.231352444;83.511;1.59584;93.821;0.93469;85.833;1.4785;85.774;1.28204
1.795195802;3.410872024;83.288;1.67694;93.967;0.97644;85.461;1.54933;85.611;1.25953
1.795195802;3.590391604;82.618;1.51985;93.725;0.93652;85.113;1.64801;85.19;1.25211
1.795195802;3.769911184;82.182;1.60647;93.36;0.92227;84.835;1.59894;84.582;1.19452
1.795195802;3.949430765;81.961;1.79175;93.078;0.92811;84.585;1.54978;84.214;1.29282
1.795195802;4.128950345;82.039;1.51966;92.926;0.96969;84.494;1.5868;84.115;1.33343
1.795195802;4.308469925;82.299;1.56808;92.915;0.93716;84.815;1.53308;84.226;1.28684
1.795195802;4.487989505;82.703;1.56142;93.119;0.94637;84.878;1.53323;84.333;1.19267
1.795195802;4.667509085;83.071;1.63038;93.482;0.95808;85.086;1.52598;84.642;1.30603
1.795195802;4.847028666;83.64;1.47919;93.869;0.93108;85.397;1.49833;85.047;1.22604
1.795195802;5.026548246;83.861;1.42873;94.099;0.96775;85.675;1.52335;85.638;1.19398
1.795195802;5.206067826;84.35;1.43961;94.042;0.85448;85.935;1.46906;85.954;1.16711
1.795195802;5.385587406;84.039;1.57143;94.121;0.92922;86.007;1.57654;85.985;1.3032
1.795195802;5.565106986;84.115;1.44052;94.278;0.90587;85.963;1.45512;86.221;1.1953
1.795195802;5.744626567;84.533;1.40443;94.607;0.85731;86.065;1.52905;86.549;1.25698
1.795195802;5.924146147;84.261;1.42168;94.247;0.88914;85.811;1.46193;86.474;1.30554
1.795195802;6.103665727;83.803;1.40488;94.049;0.87827;85.678;1.34934;86.261;1.35011
1.795195802;6.283185307;84.11;1.44272;94.022;0.90436;85.651;1.41785;85.811;1.32196
1.974715382;0;83.408;1.55014;93.612;0.91593;85.361;1.3936;85.625;1.22828
1.974715382;0.17951958;84.1;1.54491;93.831;0.90548;85.525;1.51479;85.229;1.23406
1.974715382;0.35903916;84.379;1.34879;93.992;0.94478;85.925;1.35261;85.343;1.30163
1.974715382;0.538558741;84.281;1.38142;94.101;0.92785;86.239;1.44213;85.761;1.25362
1.974715382;0.718078321;84.81;1.33704;94.226;0.8569;86.421;1.43907;86.244;1.21286
1.974715382;0.897597901;84.601;1.60098;94.486;0.91213;86.414;1.55833;86.711;1.15284
1.974715382;1.077117481;85.06;1.34418;94.735;0.93996;86.533;1.4709;86.936;1.25459
1.974715382;1.256637061;84.74;1.55638;94.731;0.8409;86.368;1.48194;87.121;1.23648
1.974715382;1.436156642;85.194;1.37128;94.786;0.85536;86.404;1.48551;87.043;1.29268
1.974715382;1.615676222;84.979;1.43404;94.86;0.82297;86.292;1.46572;86.725;1.27403
1.974715382;1.795195802;84.911;1.51822;94.694;0.85864;86.192;1.4612;86.329;1.28519
1.974715382;1.974715382;84.654;1.53288;94.511;0.83645;86.025;1.50241;86.022;1.35337
1.974715382;2.154234962;84.596;1.56287;94.283;0.8812;85.943;1.47016;85.906;1.31695
1.974715382;2.333754543;84.433;1.47728;94.139;0.83634;85.871;1.44856;85.589;1.27568
1.974715382;2.513274123;84.033;1.62089;94.088;0.84808;85.719;1.48155;85.399;1.23019
1.974715382;2.692793703;83.328;1.54184;93.949;0.88219;85.618;1.49115;85.074;1.36683
1.974715382;2.872313283;83.4;1.78789;93.833;0.90863;85.601;1.54086;84.874;1.27477
1.974715382;3.051832863;83.522;1.57129;93.885;0.89677;85.806;1.43587;85.128;1.20628
1.974715382;3.231352444;83.456;1.63066;93.996;0.89211;85.612;1.53182;85.722;1.40847
1.974715382;3.410872024;83.617;1.65236;94.019;0.9442;85.69;1.49568;85.91;1.3664
1.974715382;3.590391604;83.365;1.46155;93.981;1.01307;85.56;1.55151;85.554;1.30134
1.974715382;3.769911184;82.901;1.53771;93.836;0.92061;85.115;1.64489;85.19;1.27349
1.974715382;3.949430765;82.832;1.49715;93.637;0.93329;85.044;1.60738;84.85;1.24995
1.974715382;4.128950345;82.51;1.60298;93.453;0.87995;85.049;1.56179;84.567;1.17823
1.974715382;4.308469925;82.658;1.59136;93.303;0.95148;85.015;1.68106;84.375;1.21676
1.974715382;4.487989505;82.794;1.55162;93.285;0.96971;85.061;1.63893;84.482;1.26714
1.974715382;4.667509085;83.075;1.57037;93.465;0.96293;85.21;1.57717;84.732;1.30041
1.974715382;4.847028666;83.121;1.47359;93.713;1.02662;85.356;1.56967;84.875;1.30799
1.974715382;5.026548246;83.537;1.52189;93.871;1.00417;85.436;1.52728;84.947;1.25919
1.974715382;5.206067826;83.81;1.58032;93.853;0.95048;85.636;1.59053;85.265;1.30217
1.974715382;5.385587406;83.76;1.65473;93.885;0.9937;85.743;1.45461;85.449;1.29515
1.974715382;5.565106986;83.722;1.66447;93.918;0.94164;85.883;1.6083;85.704;1.21371
1.974715382;5.744626567;83.706;1.69409;94.258;0.86963;85.806;1.68038;85.963;1.14198
1.974715382;5.924146147;84.131;1.35067;94.15;0.87759;85.614;1.47225;86.131;1.30008
1.974715382;6.103665727;83.456;1.39972;93.65;0.86471;85.372;1.47024;85.921;1.39175
1.974715382;6.283185307;83.464;1.36717;93.612;0.91593;85.361;1.3936;85.596;1.26416
2.154234962;0;83.432;1.69789;93.467;0.91349;85.142;1.50449;85.493;1.20911
2.154234962;0.17951958;83.51;1.5227;93.601;0.89887;85.339;1.60935;85.197;1.35645
2.154234962;0.35903916;83.568;1.63897;93.606;0.91454;85.593;1.43168;84.849;1.21844
2.154234962;0.538558741;84.074;1.58553;93.647;0.9258;85.907;1.34807;85.188;1.22889
2.154234962;0.718078321;84.014;1.44358;93.946;0.89841;86.244;1.37366;85.825;1.15283
2.154234962;0.897597901;84.322;1.52516;94.257;0.86611;86.239;1.43865;86.449;1.05231
2.154234962;1.077117481;84.668;1.47168;94.54;0.89207;86.281;1.42259;86.826;1.26418
2.154234962;1.256637061;84.46;1.5005;94.64;0.84781;86.314;1.48168;86.914;1.31418
2.154234962;1.436156642;84.871;1.45724;94.75;0.87202;86.294;1.45547;87.135;1.2665
2.154234962;1.615676222;85.065;1.36004;94.838;0.83566;86.228;1.43409;86.953;1.32983
2.154234962;1.795195802;84.824;1.80725;94.839;0.84431;86.196;1.35911;86.671;1.25269
2.154234962;1.974715382;85.019;1.80961;94.658;0.8332;86.182;1.40552;86.304;1.32795
2.154234962;2.154234962;84.726;1.55772;94.512;0.83714;86.022;1.50661;85.996;1.34415
2.154234962;2.333754543;84.706;1.49553;94.294;0.86662;85.993;1.41849;85.936;1.35167
2.154234962;2.513274123;84.062;1.52542;94.076;0.84674;85.894;1.42689;85.654;1.2976
2.154234962;2.692793703;83.904;1.65411;94.09;0.87055;85.679;1.57881;85.536;1.21383
2.154234962;2.872313283;83.487;1.45428;94.003;0.89739;85.642;1.54832;85.128;1.22957
2.154234962;3.051832863;83.119;1.56303;93.868;0.89653;85.599;1.50343;85.029;1.16919
2.154234962;3.231352444;83.318;1.54372;93.961;0.84904;85.611;1.4991;85.281;1.34629
2.154234962;3.410872024;83.707;1.42815;93.943;0.9139;85.693;1.36316;85.785;1.33657
2.154234962;3.590391604;83.726;1.59548;94.051;0.87446;85.631;1.50108;85.936;1.33169
2.154234962;3.769911184;83.536;1.48259;94.171;0.96434;85.586;1.4177;85.772;1.32816
2.154234962;3.949430765;83.381;1.42971;93.931;0.95389;85.329;1.59748;85.258;1.46947
2.154234962;4.128950345;83.003;1.61718;93.667;0.98953;85.21;1.70222;85.069;1.31476
2.154234962;4.308469925;82.838;1.53725;93.504;0.91474;85.118;1.66173;84.728;1.28784
2.154234962;4.487989505;82.9;1.63927;93.444;0.9217;85.315;1.56382;84.561;1.30033
2.154234962;4.667509085;83.182;1.37831;93.536;0.98041;85.378;1.61124;84.681;1.32426
2.154234962;4.847028666;82.892;1.81975;93.654;1.01981;85.354;1.60083;84.735;1.25433
2.154234962;5.026548246;83.162;1.52409;93.733;1.07713;85.317;1.53848;84.731;1.16631
2.154234962;5.206067826;83.243;1.56055;93.664;1.01318;85.522;1.54824;84.933;1.24016
2.154234962;5.385587406;83.317;1.30811;93.732;0.97156;85.592;1.47007;85.181;1.15745
2.154234962;5.565106986;83.478;1.47077;93.781;0.94129;85.728;1.51766;85.453;1.3269
2.154234962;5.744626567;83.739;1.64672;94.042;0.93902;85.771;1.69654;85.806;1.10885
2.154234962;5.924146147;83.643;1.59146;94.056;0.94056;85.508;1.55136;85.935;1.28948
2.154234962;6.103665727;83.493;1.5253;93.476;0.93179;85.214;1.56019;85.833;1.29264
2.154234962;6.283185307;83.321;1.66992;93.468;0.91487;85.144;1.50602;85.493;1.22228
2.333754543;0;83.108;1.47036;93.476;0.84058;85.09;1.59974;85.443;1.28225
2.333754543;0.17951958;83.317;1.54888;93.379;0.92901;85.193;1.52245;85.029;1.40412
2.333754543;0.35903916;83.396;1.61343;93.51;0.95275;85.785;1.57262;84.415;1.21149
2.333754543;0.538558741;83.401;1.50328;93.706;0.92377;85.996;1.34372;84.864;1.25246
2.333754543;0.718078321;83.96;1.57876;93.868;0.94186;86.274;1.36409;85.522;1.15706
2.333754543;0.897597901;84.247;1.46713;94.172;0.88212;86.003;1.45967;86.104;1.11793
2.333754543;1.077117481;84.429;1.37688;94.44;0.89956;86.081;1.48949;86.567;1.1759
2.333754543;1.256637061;84.325;1.4734;94.489;0.86667;86.099;1.36791;86.767;1.22869
2.333754543;1.436156642;84.365;1.54563;94.65;0.89419;86.267;1.42593;86.987;1.33632
2.333754543;1.615676222;84.961;1.51077;94.737;0.86198;86.25;1.4217;86.928;1.35803
2.333754543;1.795195802;85.008;1.50895;94.839;0.82839;86.124;1.4115;86.778;1.41803
2.333754543;1.974715382;85.015;1.52245;94.776;0.85457;86.172;1.43779;86.493;1.20223
2.333754543;2.154234962;84.649;1.35933;94.633;0.83299;86.144;1.43911;86.283;1.315
2.333754543;2.333754543;84.657;1.43445;94.511;0.83645;86.022;1.50559;86.026;1.32868
2.333754543;2.513274123;84.412;1.47063;94.301;0.86546;85.957;1.45454;85.968;1.33094
2.333754543;2.692793703;84.175;1.40722;94.115;0.84063;85.843;1.41398;85.728;1.31353
2.333754543;2.872313283;83.953;1.49632;94.057;0.89738;85.694;1.42752;85.638;1.19769
2.333754543;3.051832863;83.694;1.40765;94.035;0.90914;85.664;1.51122;85.386;1.27937
2.333754543;3.231352444;83.339;1.73549;93.958;0.85606;85.608;1.48524;85.21;1.22703
2.333754543;3.410872024;83.507;1.47998;93.892;0.86669;85.603;1.45379;85.469;1.24347
2.333754543;3.590391604;83.685;1.58302;93.938;0.91401;85.671;1.51485;85.86;1.28511
2.333754543;3.769911184;83.701;1.56685;94.06;0.89405;85.681;1.45104;86;1.31454
2.333754543;3.949430765;83.565;1.44672;94.156;0.88773;85.585;1.54776;85.803;1.35494
2.333754543;4.128950345;83.535;1.60528;94.068;0.98156;85.571;1.46288;85.44;1.44978
2.333754543;4.308469925;83.281;1.51762;93.767;0.9601;85.428;1.53906;85.15;1.33949
2.333754543;4.487989505;83.15;1.70442;93.711;0.92172;85.417;1.64077;85.022;1.25042
2.333754543;4.667509085;83.179;1.58673;93.675;0.96534;85.331;1.60292;84.774;1.25365
2.333754543;4.847028666;83.054;1.30888;93.681;1.04665;85.496;1.41942;84.737;1.31394
2.333754543;5.026548246;83.131;1.42879;93.739;1.03259;85.526;1.42742;84.783;1.26462
2.333754543;5.206067826;83.258;1.5874;93.785;0.949;85.713;1.5373;84.926;1.23439
2.333754543;5.385587406;83.012;1.47911;93.836;0.97178;85.726;1.52169;85.25;1.22758
2.333754543;5.565106986;83.076;1.95171;93.896;0.96012;85.781;1.54882;85.487;1.33485
2.333754543;5.744626567;83.481;1.40886;93.936;0.98312;85.664;1.52456;85.772;1.12754
2.333754543;5.924146147;83.447;1.47201;93.921;0.91178;85.29;1.60127;85.889;1.13957
2.333754543;6.103665727;83.224;1.50837;93.436;0.91848;85.197;1.61496;85.765;1.34837
2.333754543;6.283185307;83.376;1.51887;93.476;0.84058;85.094;1.59582;85.476;1.25589
2.513274123;0;83.053;1.81631;93.521;0.90701;84.997;1.6337;85.147;1.23225
2.513274123;0.17951958;82.897;1.50463;93.322;0.93597;85.296;1.70031;84.797;1.22686
2.513274123;0.35903916;83.136;1.69127;93.525;0.9889;85.825;1.50473;84.513;1.17384
2.513274123;0.538558741;83.832;1.73206;93.908;0.96145;86.21;1.287;84.979;1.27208
2.513274123;0.718078321;83.922;1.5732;93.95;0.90743;86.358;1.48326;85.685;1.20845
2.513274123;0.897597901;84.157;1.6097;94.15;0.95122;85.978;1.54809;86.043;1.06818
2.513274123;1.077117481;84.232;1.64599;94.343;0.91916;86.036;1.51859;86.25;1.18129
2.513274123;1.256637061;84.194;1.41299;94.392;0.84295;85.915;1.42103;86.514;1.25685
2.513274123;1.436156642;84.206;1.46843;94.512;0.91635;85.918;1.47326;86.657;1.2409
2.513274123;1.615676222;84.507;1.37316;94.626;0.87724;86.165;1.56161;86.628;1.41081
2.513274123;1.795195802;84.668;1.59316;94.724;0.85898;86.3;1.40251;86.625;1.3778
2.513274123;1.974715382;84.921;1.35019;94.783;0.84923;86.14;1.48647;86.56;1.32664
2.513274123;2.154234962;84.872;1.44266;94.703;0.86223;86.131;1.48306;86.307;1.25109
2.513274123;2.333754543;84.668;1.60077;94.581;0.83679;86.099;1.41027;86.208;1.28838
2.513274123;2.513274123;84.625;1.66487;94.512;0.83714;86.022;1.50559;86.04;1.33485
2.513274123;2.692793703;84.454;1.61688;94.325;0.85977;86.076;1.52669;86.004;1.3721
2.513274123;2.872313283;84.347;1.48351;94.179;0.83474;85.91;1.34075;85.793;1.31135
2.513274123;3.051832863;84.149;1.55551;94.122;0.88908;85.767;1.45674;85.649;1.25693
2.513274123;3.231352444;83.864;1.53915;94.056;0.86134;85.601;1.42225;85.512;1.30846
2.513274123;3.410872024;83.562;1.62404;94.006;0.8335;85.664;1.58365;85.457;1.25421
2.513274123;3.590391604;83.714;1.75535;93.94;0.84384;85.617;1.55324;85.571;1.32606
2.513274123;3.769911184;83.819;1.41319;93.942;0.89468;85.757;1.45355;85.921;1.33053
2.513274123;3.949430765;83.769;1.5491;94.082;0.89449;85.729;1.44969;86.06;1.33401
2.513274123;4.128950345;83.824;1.48533;94.14;0.87658;85.861;1.49717;85.9;1.39464
2.513274123;4.308469925;83.719;1.53189;94.056;0.92024;85.726;1.47063;85.718;1.27899
2.513274123;4.487989505;83.631;1.56532;93.912;0.98014;85.775;1.45961;85.515;1.27782
2.513274123;4.667509085;83.478;1.41557;93.875;0.98258;85.699;1.65114;85.404;1.41081
2.513274123;4.847028666;83.281;1.32007;93.826;0.96353;85.769;1.58082;85.322;1.28047
2.513274123;5.026548246;83.365;1.75076;93.906;0.97584;85.861;1.44231;85.185;1.27295
2.513274123;5.206067826;83.188;1.54615;93.969;0.92404;85.953;1.4734;85.107;1.25936
2.513274123;5.385587406;83.34;1.47437;93.897;0.92271;85.912;1.55509;85.283;1.21794
2.513274123;5.565106986;83.24;1.48709;93.976;0.94723;85.899;1.61069;85.671;1.27839
2.513274123;5.744626567;83.426;1.5486;94.017;0.97967;85.765;1.62476;85.942;1.21915
2.513274123;5.924146147;82.964;1.59114;93.997;0.92329;85.349;1.58425;85.975;1.21064
2.513274123;6.103665727;83.06;1.8071;93.631;0.92588;85.249;1.66218;85.742;1.3153
2.513274123;6.283185307;83.039;1.5677;93.521;0.90574;84.986;1.63282;85.169;1.21614
2.692793703;0;82.9;1.60959;93.719;0.95209;85.207;1.45568;85.164;1.25775
2.692793703;0.17951958;83.133;1.60527;93.806;0.8638;85.401;1.47666;84.737;1.19507
2.692793703;0.35903916;83.318;1.35257;93.918;0.93031;86.215;1.50326;84.94;1.10837
2.692793703;0.538558741;83.832;1.55767;94.322;0.97723;86.558;1.35509;85.475;1.1751
2.692793703;0.718078321;83.975;1.45453;94.389;0.95217;86.306;1.42873;85.971;1.2297
2.692793703;0.897597901;84.078;1.50007;94.374;0.95126;86.128;1.4814;86.131;1.09379
2.692793703;1.077117481;84.007;1.62878;94.383;0.92678;85.893;1.52085;86.194;1.20682
2.692793703;1.256637061;84.031;1.58418;94.325;0.87423;85.718;1.51141;86.374;1.26913
2.692793703;1.436156642;84.104;1.48285;94.3;0.88626;85.939;1.5095;86.454;1.38492
2.692793703;1.615676222;84.099;1.49439;94.361;0.89688;85.961;1.42666;86.39;1.32659
2.692793703;1.795195802;84.382;1.51081;94.603;0.87224;86.225;1.37119;86.361;1.2557
2.692793703;1.974715382;84.564;1.56409;94.654;0.86189;86.096;1.41024;86.436;1.32655
2.692793703;2.154234962;84.967;1.54524;94.661;0.85737;86.044;1.31387;86.36;1.30057
2.692793703;2.333754543;84.782;1.64632;94.625;0.8353;86.106;1.45918;86.235;1.24426
2.692793703;2.513274123;84.656;1.53414;94.55;0.83197;86.026;1.42032;86.128;1.27948
2.692793703;2.692793703;84.632;1.3796;94.511;0.83645;86.021;1.50621;86.028;1.35856
2.692793703;2.872313283;84.563;1.6441;94.368;0.8641;86.093;1.54593;86.082;1.3522
2.692793703;3.051832863;84.586;1.35101;94.21;0.83257;85.919;1.40584;85.85;1.31605
2.692793703;3.231352444;84.299;1.5414;94.139;0.87665;85.806;1.49884;85.681;1.23985
2.692793703;3.410872024;84.051;1.63678;94.108;0.86984;85.828;1.43209;85.557;1.2476
2.692793703;3.590391604;83.832;1.58359;94.046;0.86573;85.622;1.54279;85.579;1.24707
2.692793703;3.769911184;83.731;1.64594;93.939;0.88137;85.601;1.56976;85.672;1.28751
2.692793703;3.949430765;83.983;1.69557;93.961;0.90021;85.651;1.40788;85.883;1.23315
2.692793703;4.128950345;83.722;1.51281;94.114;0.88928;85.829;1.44009;85.989;1.33814
2.692793703;4.308469925;83.899;1.72717;94.219;0.89984;85.986;1.44478;85.979;1.3031
2.692793703;4.487989505;83.961;1.47543;94.133;0.9148;86.053;1.36114;85.974;1.2493
2.692793703;4.667509085;84.032;1.52569;94.089;0.94287;86.001;1.46701;85.904;1.27256
2.692793703;4.847028666;83.864;1.4949;94.16;0.94473;86.144;1.48372;85.878;1.35299
2.692793703;5.026548246;83.681;1.54841;94.196;0.87957;86.171;1.53499;85.778;1.39899
2.692793703;5.206067826;83.682;1.60205;94.315;0.84603;86.088;1.66748;85.638;1.27598
2.692793703;5.385587406;83.61;1.36189;94.253;0.91557;86.167;1.54972;85.717;1.20148
2.692793703;5.565106986;83.257;1.55026;94.225;0.90292;86.042;1.60229;85.756;1.20783
2.692793703;5.744626567;83.406;1.62167;94.165;0.94291;85.829;1.62345;85.953;1.26549
2.692793703;5.924146147;83.399;1.55238;94.224;0.87821;85.607;1.58682;86.058;1.28902
2.692793703;6.103665727;83.19;1.68468;94.043;0.91327;85.557;1.52708;85.743;1.29508
2.692793703;6.283185307;82.849;1.55413;93.721;0.95264;85.21;1.46058;85.169;1.26954
2.872313283;0;83.146;1.68581;94.097;0.89268;85.531;1.44876;85.354;1.17201
2.872313283;0.17951958;83.256;1.36455;94.153;0.85267;85.768;1.45634;85.278;1.19396
2.872313283;0.35903916;83.961;1.57631;94.353;0.87934;86.386;1.45985;85.59;1.10456
