Theta1: 0;Theta2: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;82.319;84.211;81.661;84.211;80.921;84.375;83.47;81.826;83.388;83.47;81.579;83.141;82.401;82.319;81.003;82.072;82.484;84.457;81.332;81.908;82.566;84.786;82.072;82.155;81.414;80.345;83.799;85.115;84.375;82.73;82.895;83.141;81.332;82.484;80.181;83.224;81.826;81.826;81.908;82.319;82.648;81.25;84.539;83.388;82.484;82.319;81.086;81.003;82.237;82.401;83.224;82.319;83.964;83.224;82.812;81.908;82.319;81.743;81.168;82.319;81.332;80.674;81.99;80.839;81.086;81.579;84.375;81.826;82.484;82.484;82.237;81.661;83.964;82.566;83.388;83.799;82.566;82.977;83.635;81.661;84.211;81.826;82.319;80.181;83.306;82.401;83.388;83.799;82.155;83.141;83.799;83.224;81.661;82.155;83.388;82.895;82.237;83.717;80.016;82.73
KNN;91.53;92.845;92.105;92.023;91.365;92.188;93.503;92.105;91.283;93.503;92.188;91.283;92.434;91.201;90.214;91.201;91.036;92.188;92.023;91.612;91.776;93.01;90.461;92.105;91.859;91.365;92.188;93.339;91.53;92.105;92.188;91.612;91.118;92.023;89.885;92.023;92.352;91.036;92.599;90.625;91.694;91.447;92.188;91.612;91.694;90.707;91.941;91.612;92.352;90.954;91.53;91.283;92.105;92.188;91.941;92.27;91.53;90.214;91.612;92.434;92.27;91.859;90.707;91.612;90.707;92.188;92.105;92.352;93.01;91.941;92.434;91.612;92.681;92.599;91.283;92.845;92.845;92.516;91.612;91.612;91.694;91.612;91.447;89.967;91.201;91.694;90.378;92.845;91.776;92.27;92.188;92.352;88.816;91.859;92.27;93.01;91.118;92.27;90.954;91.776
GNB;87.829;89.885;88.98;88.98;88.898;89.803;89.556;89.474;87.747;89.391;89.309;89.474;90.132;88.816;88.322;88.569;86.678;89.72;89.967;89.145;89.72;90.132;88.487;89.391;89.638;87.336;89.391;90.132;88.076;88.24;89.145;88.405;88.076;89.556;86.266;88.898;89.145;88.24;88.898;88.076;89.391;88.158;89.227;88.569;90.378;89.062;89.145;89.062;88.898;89.062;89.145;89.638;90.378;91.118;88.487;89.556;87.418;87.5;88.98;89.474;89.391;87.911;87.747;88.405;88.898;90.378;89.062;88.24;90.625;89.885;89.391;90.543;90.049;90.049;89.638;90.296;89.72;89.803;90.049;89.062;89.72;89.638;88.898;87.829;87.993;87.829;88.98;89.967;89.062;89.885;89.474;88.405;87.911;88.898;89.885;90.214;88.569;89.967;86.842;90.214
SVM;89.227;90.543;88.405;89.72;88.651;89.72;89.803;88.487;87.747;90.132;88.898;89.556;89.145;89.474;88.651;88.405;87.664;88.734;89.227;89.391;89.309;89.967;87.336;88.898;89.638;88.322;89.309;91.118;87.664;88.076;89.391;88.158;88.569;89.803;87.253;88.24;90.543;87.829;88.734;89.145;90.132;87.747;88.24;89.062;90.543;88.98;88.816;87.747;89.227;88.734;88.569;87.911;89.72;88.569;88.24;88.98;88.898;88.487;88.405;88.076;88.651;88.734;86.595;89.803;88.322;88.734;88.569;88.405;89.309;88.98;90.872;89.72;89.062;87.5;87.747;89.885;88.487;90.707;88.898;87.747;88.651;88.24;87.911;87.007;88.816;89.391;88.405;89.062;88.24;89.885;89.556;88.322;87.5;88.405;89.227;89.967;87.993;89.474;87.253;89.638
Theta1: 0;Theta2: 0.179519580205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;85.609;84.293;84.786;85.526;83.388;84.457;85.526;85.362;83.964;85.362;83.553;84.786;83.388;83.635;82.812;84.457;83.059;85.609;83.717;84.539;84.704;84.622;85.691;84.128;83.141;81.99;84.375;85.773;85.033;83.306;84.375;84.046;84.622;84.046;81.086;84.293;84.128;84.046;82.73;82.977;83.635;84.457;85.691;85.115;86.513;84.293;83.717;83.799;84.128;85.362;84.539;84.457;83.882;83.717;83.964;84.951;84.786;83.553;83.635;83.553;84.868;85.362;84.046;83.47;82.155;84.211;82.73;83.224;84.457;85.197;83.553;83.224;85.609;84.046;84.622;84.457;86.266;85.526;84.539;84.951;84.457;84.868;85.115;82.484;84.457;84.622;83.224;84.951;83.47;85.033;85.28;83.717;81.99;83.964;83.635;84.951;83.635;84.704;81.579;84.128
KNN;92.681;93.421;92.599;92.352;91.776;93.092;93.75;93.257;92.434;93.339;91.859;91.859;92.516;92.188;91.036;91.694;91.447;92.352;93.174;92.27;93.01;93.257;91.776;92.352;92.516;91.118;92.434;93.421;92.023;92.352;92.023;92.516;91.365;93.01;90.707;92.681;93.997;92.434;92.516;91.036;91.447;91.694;92.27;92.845;92.188;92.599;91.776;92.105;92.352;92.763;91.859;92.681;92.434;93.257;92.352;93.75;92.845;91.776;91.612;92.845;92.188;92.434;91.859;92.352;92.023;92.516;92.928;92.516;93.75;92.845;93.339;91.941;92.928;93.092;92.434;93.503;93.503;93.092;92.434;93.257;91.941;92.352;91.941;90.132;91.941;92.681;91.118;93.914;92.599;93.339;92.928;92.763;90.461;92.023;92.599;93.01;93.257;93.832;91.118;92.681
GNB;88.816;90.461;89.803;90.625;91.447;89.803;90.872;90.954;89.885;90.543;89.474;89.062;91.118;89.803;88.98;89.803;88.898;90.789;90.872;89.803;91.201;90.872;89.227;90.872;89.145;87.747;90.707;90.543;89.72;90.049;90.296;90.789;89.967;91.036;89.391;89.885;91.859;90.296;90.625;89.309;90.296;89.474;91.859;90.543;91.53;90.049;90.296;91.612;89.391;90.543;89.885;91.941;91.036;91.365;89.309;91.283;89.803;89.474;89.885;91.283;90.543;90.378;90.049;90.707;89.967;91.118;89.803;90.132;91.118;90.954;91.612;91.776;91.859;91.118;91.447;91.283;91.118;90.543;90.461;90.707;91.859;90.049;90.872;89.556;90.461;89.803;90.954;91.776;90.049;91.776;91.53;90.049;88.98;90.872;91.447;92.352;90.296;90.954;88.569;90.378
SVM;90.789;91.447;90.789;91.941;90.789;91.941;91.694;90.789;89.967;91.365;90.872;90.789;90.543;90.872;90.214;90.049;89.145;90.378;91.447;90.954;91.036;91.859;90.872;90.049;90.296;89.391;90.625;92.27;90.461;90.872;91.283;90.461;89.062;91.859;89.145;90.872;92.599;90.132;91.776;90.378;91.365;90.049;91.776;90.214;92.434;91.283;92.27;90.789;90.789;92.105;90.625;90.461;91.118;91.201;89.72;91.365;90.543;90.378;90.461;91.036;90.872;89.967;89.72;91.859;90.461;91.612;90.872;90.707;90.872;90.954;91.859;91.447;91.118;91.036;91.036;91.859;90.625;92.928;90.543;90.872;89.72;91.201;89.967;90.625;90.543;90.872;89.391;91.941;90.625;92.352;91.283;90.872;88.898;90.543;90.789;91.941;89.638;92.27;89.145;92.352
Theta1: 0;Theta2: 0.35903916041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;85.28;86.102;85.28;85.444;84.293;85.444;86.02;85.444;84.457;85.28;83.059;83.388;84.786;81.743;81.414;83.224;84.951;85.197;85.033;83.553;83.553;85.691;83.47;84.951;84.211;83.388;83.882;84.868;83.964;83.553;84.128;83.388;84.046;84.211;81.99;83.717;85.526;83.553;84.622;83.882;83.388;83.799;85.773;84.868;86.349;83.306;84.786;85.033;83.964;84.704;85.033;82.977;84.293;85.115;83.964;85.28;82.812;82.155;83.553;83.717;84.704;83.306;83.635;83.306;82.73;83.306;82.895;84.128;84.622;85.28;85.855;84.868;84.951;83.553;83.553;83.717;85.609;84.375;85.444;84.128;84.293;84.211;82.895;81.414;84.046;84.539;83.882;86.184;83.059;84.293;83.964;84.128;83.47;84.293;82.977;85.033;85.773;85.773;81.908;84.868
KNN;92.681;93.092;92.681;93.01;92.27;92.599;93.75;93.997;92.188;93.503;92.105;91.612;92.27;92.188;90.954;91.776;91.201;92.928;92.599;92.434;93.339;93.503;92.27;92.188;92.352;91.283;92.352;93.174;92.188;92.023;92.27;92.845;91.941;93.174;91.53;93.257;94.079;92.188;92.105;91.201;92.023;91.53;93.01;93.914;92.599;92.188;92.516;92.928;92.845;92.763;92.188;92.845;92.681;93.092;92.27;93.668;92.516;92.188;91.612;93.257;92.434;92.599;91.776;92.599;92.105;92.763;92.434;92.516;93.586;92.763;92.928;92.763;93.01;93.832;92.928;93.914;93.257;93.092;93.174;92.352;92.105;93.421;91.859;90.872;92.105;92.845;90.954;93.339;92.845;94.079;92.599;92.599;91.53;92.023;92.845;92.27;93.092;93.668;91.612;92.27
