theta;RFC;;KNN;;GNB;;SVC;
0.711767086;52.165;2.912520386;81.3275;1.857651407;69.6725;2.429170383;63.595;2.096956127
0.724038932;51.7425;2.897942158;81.3275;1.847868705;69.6275;2.445785917;63.6325;2.043726682
0.736310778;52.64;2.953667212;81.345;1.839422464;69.73;2.50241883;63.625;2.031471142
0.748582624;52.3025;3.101470417;81.345;1.814448952;69.6575;2.626703019;63.6725;2.175343364
0.760854471;52.325;2.886065661;81.3325;1.792712679;69.6425;2.62255958;63.6875;2.101004224
0.773126317;52.435;2.676663034;81.3125;1.769666282;69.6825;2.759949048;63.89;2.151836425
0.785398163;52.325;2.855805491;81.4;1.762101019;69.6225;2.65105993;63.8425;2.146990626
0.79767001;51.875;2.783320858;81.4025;1.763481996;69.57;2.599778837;63.9425;2.19455434
0.809941856;51.755;2.798209249;81.375;1.766529083;69.59;2.659069386;64.0275;2.177698039
0.822213702;51.9475;2.559368819;81.2975;1.755596409;69.39;2.685218799;64.0675;2.160397822
0.834485549;51.8475;2.73356338;81.3425;1.743435904;69.4475;2.759142756;64.0375;2.036656267
0.846757395;52.3125;2.923690946;81.3125;1.765777095;69.465;2.744089102;64.13;1.911635425
0.859029241;52.2225;2.573639204;81.325;1.707520132;69.2675;2.750512452;64.1125;1.943056548
0.871301088;52.2025;2.856067007;81.2725;1.649278251;69.2625;2.787556053;64.1175;2.06320594
0.883572934;51.7075;2.705793553;81.2275;1.640158148;69.2325;2.744370374;64.115;2.025283931
0.89584478;52.27;2.84554037;81.1425;1.615261202;69.1925;2.620318444;64.16;2.005155854
0.908116626;52.205;2.737786515;81.0675;1.580290717;69.235;2.61170921;64.1475;1.891459423
0.920388473;52.32;2.647659344;80.9475;1.588354101;69.0975;2.546785965;64.0875;2.046452724
0.932660319;51.7525;2.810803933;80.915;1.580435067;69.075;2.547915815;64.03;2.213391064
0.944932165;51.8525;2.7854746;80.81;1.605116818;68.945;2.534408215;63.955;2.106056742
0.957204012;52.005;2.919970034;80.7;1.599609327;69.03;2.393553843;63.9425;2.15199181
0.969475858;51.83;2.739726264;80.6025;1.592598113;69.0175;2.419776591;63.965;2.117492621
0.981747704;51.39;2.540009843;80.56;1.57286363;68.905;2.302927485;63.89;2.196963814
0.994019551;51.4375;3.035699055;80.4275;1.50386793;68.9;2.333452378;63.825;2.204399011
1.006291397;52.1825;2.748830433;80.3375;1.48886492;68.8325;2.354266075;63.7825;2.193927699
1.018563243;51.455;2.74394333;80.2725;1.527291311;68.745;2.448974275;63.8575;2.141919408
1.030835089;52.13;2.834272393;80.155;1.562361994;68.73;2.356289456;63.8575;2.192673881
1.043106936;51.415;2.702595974;80.08;1.532922046;68.7025;2.323438992;63.71;2.075668567
1.055378782;51.9525;2.462898445;80.045;1.556189256;68.6025;2.19519219;63.7075;2.004387375
1.067650628;51.8125;2.450605792;79.9525;1.582598733;68.6075;2.374409137;63.6075;2.040604996
1.079922475;51.5025;2.839563127;79.9;1.66620827;68.5175;2.384652752;63.4375;2.10486787
1.092194321;51.5975;2.646907394;79.83;1.682215801;68.54;2.445843413;63.35;2.059429533
1.104466167;51.545;2.542729832;79.7525;1.695027655;68.485;2.517890983;63.275;2.054415975
1.116738014;51.625;2.617847398;79.6875;1.651656366;68.3;2.536237371;63.23;2.058421725
1.12900986;51.635;3.153256253;79.5925;1.635028669;68.41;2.525747414;63.105;2.18007454
1.141281706;51.17;2.900189649;79.5;1.655672069;68.425;2.57208573;63.1025;2.144788743
1.153553552;51.215;2.570996888;79.4225;1.646471606;68.31;2.632042933;63.01;2.140654106
1.165825399;51.425;2.67172697;79.3025;1.683855323;68.2725;2.612253577;62.88;2.18960042
1.178097245;51.3825;2.852291842;79.235;1.689977811;68.27;2.58884144;62.785;2.137469298
1.190369091;51.4025;2.747019976;79.16;1.691715106;68.1775;2.658781441;62.69;2.121650301
1.202640938;51.345;2.661010147;79.0375;1.712591238;67.93;2.641987888;62.6375;2.197832739
1.214912784;51.355;2.875365194;78.95;1.747498212;68.0475;2.666152424;62.505;2.204535098
1.22718463;50.9225;2.657935054;78.825;1.764404999;68.0425;2.609610843;62.4625;2.123786418
1.239456477;51.01;2.585759076;78.665;1.731408386;67.8925;2.593562945;62.37;2.190741883
1.251728323;50.975;2.849451702;78.5725;1.748676285;68.0475;2.521828454;62.2875;2.335962061
1.264000169;51.02;2.448387224;78.45;1.778693341;68.0175;2.542699107;62.25;2.274587875
1.276272016;50.67;2.38795938;78.35;1.824486229;67.83;2.484673017;62.14;2.412032338
1.288543862;50.555;2.994490775;78.225;1.828763243;67.6675;2.56565172;61.95;2.336396798
1.300815708;50.345;2.699949074;78.07;1.856434755;67.54;2.369525269;61.905;2.360556079
1.313087554;49.99;3.258243392;77.9125;1.922035054;67.395;2.533816292;61.845;2.376126049
1.325359401;50.35;2.520664595;77.8;1.994993734;67.405;2.377440851;61.675;2.426545899
